id,Collector ID,Start Date,End Date,Email Address,First Name,Last Name,Custom Data 1,location,company_size,org_type,job_function_Software Architect,job_function_Security Engineer,job_function_Applications Developer,job_function_Mobile Developer,job_function_Back-End Developer,job_function_Front-End Developer,job_function_Full-Stack Developer,job_function_Game or Graphics Engineer,job_function_Quality Assurance Engineer,job_function_Development Manager,job_function_IT Manager/Operations,job_function_Software Development Management,job_function_DevOps Management,job_function_Product/Project Management,job_function_Release Management,job_function_Machine Learning Specialist,job_function_Data Scientist,job_function_Database Administrator,job_function_Training/Certification,job_function_Developer Relations,job_function_Sales,job_function_Marketing,job_function_Other (please specify),role,role_other_text,What is your job title?,data_center_Private cloud / on-premises,data_center_Public cloud,data_center_Hybrid cloud,data_center_Other (please specify),number_of_machines,activities_Develop software,activities_Test software,activities_Monitor and troubleshoot applications,activities_Architect software,activities_Manage deployment pipeline,activities_Manage security processes,activities_Manage data processes,activities_Work with AI and ML systems,activities_Work with infrastructure resources,activities_Cost management,"activities_Research, evaluate, and purchase new technologies",activities_Manage a cloud platform,container_Proof of concept,container_Development,container_Test,container_Production,kubernetes_Proof of concept,kubernetes_Development,kubernetes_Test,kubernetes_Production,kubernetes_Other (please specify),learn_Twitter,learn_YouTube,learn_Discuss Blog,learn_Meet ups and local events,learn_KubeCon,learn_StackOverflow,learn_Documentation,learn_Other (please specify),nps,nps_open,tech_explanation,non_tech_explanation,How would you explain to a colleague or friend the steps you’ve had to take thus far to reach your goals?,other_solutions,...80,...81,...82,...83,...84,...85,...86,...88
11601470850,257620230,2020-05-14T19:47:50Z,2020-05-14T19:57:05Z,NA,NA,NA,NA,Europe,5000+,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT Manager/Operations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manager/Director,NA,IT Infrastructure Manager,Private cloud / on-premises,Public cloud,NA,NA,5000+,Somewhat involved,Very involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Not involved,Not involved,Very involved,Very involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,NA,YouTube,Discuss Blog,Meet ups and local events,KubeCon,NA,Documentation,NA,9,I'm using this on production and I'm happy with it.,Better scale our infrastructure.,"Its a new platform that helps you achieve lots of goals, and overcomes lots of difficulties.",During a couple of years we've tried to rewrite our platform in a cloud native platform based on k8s. And it seems its working out.,OpenShift v2 and Mesos,NA,NA,NA,NA,NA,NA,NA,NA
11599429867,257620230,2020-05-14T08:12:48Z,2020-05-14T08:17:02Z,NA,NA,NA,NA,Europe,50-99,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manager/Director,NA,Lead SRE,NA,Public cloud,NA,NA,101-200,Somewhat involved,Somewhat involved,Very involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Somewhat involved,Not involved,Currently using,Currently using,Currently using,Currently using,Currently using,Future plans,Future plans,Currently using,NA,Twitter,YouTube,Discuss Blog,Meet ups and local events,KubeCon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11597431103,257620230,2020-05-13T20:21:03Z,2020-05-13T20:33:44Z,NA,NA,NA,NA,North America,5000+,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT Manager/Operations,NA,DevOps Management,NA,NA,NA,NA,NA,NA,Developer Relations,NA,NA,NA,Individual contributor,NA,Kubernetes Engineer,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,5000+,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Not involved,Not involved,Very involved,Somewhat involved,Somewhat involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,YouTube,NA,Meet ups and local events,KubeCon,StackOverflow,Documentation,Slack,9,I think it's the future of workload-based platforms.,"We've built a rapid prototyping environment where CI and CD actually exist, and changes to a multicloud environment can be as simple as a git push.","It makes it faster when we want to take the work we've done and use it in the real world, and it automatically scales up and down, to save costs.","It started with kubernetes, but it's taken several if not dozens of other projects, and multiple teams building on top of it, to get to an integrated development platform.",It probably would have been Docker Swarm and 10 times as much glue.,NA,NA,NA,NA,NA,NA,NA,NA
11596226519,257620230,2020-05-13T15:35:35Z,2020-05-13T15:37:30Z,NA,NA,NA,NA,Europe,NA,Managed service provider,Software Architect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,NA,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,501-1000,Very involved,Very involved,Somewhat involved,Very involved,Very involved,Very involved,Very involved,Not involved,Very involved,Very involved,Very involved,Very involved,Used in the past,Currently using,Currently using,Future plans,Used in the past,Used in the past,Used in the past,Used in the past,NA,NA,YouTube,NA,NA,KubeCon,NA,Documentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11596071001,257620230,2020-05-13T14:47:40Z,2020-05-13T14:52:45Z,NA,NA,NA,NA,Europe,1000-4999,Managed service provider,Software Architect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cloud Architect,Other (please specify),Architect,Cloud Architect,NA,Public cloud,NA,NA,1001-2000,Somewhat involved,Not involved,Somewhat involved,Very involved,Very involved,Somewhat involved,Not involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,NA,NA,NA,NA,NA,Documentation,NA,9,"Performance, scaling, reliability, cost reduce, multicloud",Flexible to move across cloud vendors with very less effort.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11596014552,257620230,2020-05-13T14:26:38Z,2020-05-13T14:35:46Z,NA,NA,NA,NA,South and Central America,10-49,Managed service provider,Software Architect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manager/Director,NA,Cloud architect,Private cloud / on-premises,Public cloud,NA,NA,1-5,Very involved,Very involved,Very involved,Very involved,Very involved,Not involved,Not involved,Not involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Used in the past,Future plans,Currently using,NA,Twitter,YouTube,Discuss Blog,NA,KubeCon,StackOverflow,Documentation,NA,8,Scalability,Isolation and control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11595661646,257620230,2020-05-13T12:25:42Z,2020-05-13T12:51:24Z,NA,NA,NA,NA,Asia,100-499,None of the above,Software Architect,NA,NA,NA,Back-End Developer,NA,NA,NA,NA,NA,NA,NA,NA,Product/Project Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Technology Architect,Private cloud / on-premises,NA,NA,NA,21-50,Somewhat involved,Somewhat involved,Somewhat involved,Very involved,Very involved,Very involved,Not involved,Not involved,Somewhat involved,Not involved,Very involved,Somewhat involved,Used in the past,Currently using,Currently using,Future plans,Used in the past,Currently using,Currently using,Future plans,NA,NA,YouTube,Discuss Blog,Meet ups and local events,NA,NA,Documentation,NA,10,"The ease of production management, a consistent protocol across all productions, no handover or documentation is needed between Dev and Ops cause the k8 object configuration is the documentation","Tweet, friendly discussion",We like to close the boundaries between dev and ops by using k8. We want to put same effort of managing one system or 100 systems.,"We went through various online training,  went through study materials and execute them in our in-house K8 cluster",No,NA,NA,NA,NA,NA,NA,NA,NA
11595032802,257620230,2020-05-13T07:10:31Z,2020-05-13T07:19:05Z,NA,NA,NA,NA,Europe,5000+,None of the above,Software Architect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Software Development Management,DevOps Management,Product/Project Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manager/Director,NA,Technical Program Manager,Private cloud / on-premises,Public cloud,NA,NA,501-1000,Very involved,Very involved,Somewhat involved,Very involved,Very involved,Somewhat involved,Somewhat involved,Not involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,YouTube,NA,NA,KubeCon,NA,Documentation,NA,8,"It has quite flexible but strict ruleset of implementation, and can be build just from code. We can spin up our production cluster with a single a command with all propietary and third application (30+) in less 10 minutes.",It's reproducible but complex. Getting it run and run in production is very different but rewarding.,"We are able to manage and provide easy-to-use self service capabilities in a multi-tenant cluster while keep control of what goes in, and capable of disaster recovery.","Read, learn, try and evolve. There's no easy way, and Kubernetes proficiency needs active interaction and at least a year.","We have vSphere with VMs, tried to docker compose but did not scale. Not a fair comparison.",NA,NA,NA,NA,NA,NA,NA,NA
11594835415,257620230,2020-05-13T05:22:53Z,2020-05-13T05:24:52Z,NA,NA,NA,NA,North America,1000-4999,Managed service provider,NA,NA,NA,NA,Back-End Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,NA,Private cloud / on-premises,Public cloud,NA,NA,1001-2000,Very involved,Somewhat involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Very involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,Currently using,Currently using,Currently using,NA,Twitter,YouTube,Discuss Blog,Meet ups and local events,KubeCon,NA,Documentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11594767737,257620230,2020-05-13T04:51:52Z,2020-05-13T05:06:59Z,NA,NA,NA,NA,North America,5000+,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Senior Site Reliability Engineer,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,5000+,Somewhat involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Very involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,YouTube,NA,Meet ups and local events,NA,StackOverflow,NA,NA,10,Fantastic community and solves a lot of problems running applications at scale,Common deployment/runtime api that can be easily documented in code and use GitOps.,Simplifying deployment of applications and managing their lifecycle.,"Lots and lots of research, Labbing, trial and error and reading the documentation.",Ecs and vsphere/esxi. In both cases sided with k8s due to personal comfort level and community support.,NA,NA,NA,NA,NA,NA,NA,NA
11593728123,257620230,2020-05-12T23:09:30Z,2020-05-12T23:13:21Z,NA,NA,NA,NA,North America,5000+,None of the above,Software Architect,NA,NA,NA,NA,NA,Full-Stack Developer,NA,NA,NA,IT Manager/Operations,NA,DevOps Management,Product/Project Management,NA,NA,Data Scientist,NA,NA,Developer Relations,NA,NA,NA,Manager/Director,NA,Systems integrator,NA,NA,Hybrid cloud,NA,2001-5000,Somewhat involved,Somewhat involved,Very involved,Very involved,Somewhat involved,Very involved,Somewhat involved,Not involved,Very involved,Very involved,Somewhat involved,Not involved,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,NA,"We don’t use K8s, mostly because it’s more burden than we need at our size for now. Docker-compose is fine for smaller deployments",NA,NA,NA,NA,NA,NA,Documentation,NA,2,It’s wildly complicated.,It’s useful to have an orchestrator but not if you can’t understand it,I wouldn’t,Descriptive deployments (describing something then making it based on that) is very similar to a blueprint for a house.,NA,NA,NA,NA,NA,NA,NA,NA,NA
11593422683,257620230,2020-05-12T21:48:54Z,2020-05-12T21:54:02Z,NA,NA,NA,NA,North America,10-49,None of the above,NA,NA,NA,NA,NA,NA,Full-Stack Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Senior Software Engineer,NA,Public cloud,NA,NA,6-20,Very involved,Very involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Very involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Hacker News, back in v1.0",10,"It's all about the APIs, and the well thought out mental models of all the deployment tasks I care about","Uniformity, robustness, API access","It would depend on their familiarity with containerization, but I usually use ""keeps the plates spinning"" as my ""cocktail party"" explanation",NA,It was using puppet to roll out to ec2 instances behind haproxy; a lot of ad-hoc-ery,NA,NA,NA,NA,NA,NA,NA,NA
11593157201,257620230,2020-05-12T17:43:26Z,2020-05-12T20:43:35Z,NA,NA,NA,NA,Asia,5000+,None of the above,NA,NA,Applications Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Software Engineer,NA,NA,Hybrid cloud,NA,5000+,Very involved,Somewhat involved,NA,NA,NA,NA,NA,NA,Very involved,NA,NA,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,NA,YouTube,NA,Meet ups and local events,NA,StackOverflow,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11592785693,257620230,2020-05-12T19:12:41Z,2020-05-12T19:15:10Z,NA,NA,NA,NA,Europe,100-499,Consultant,Software Architect,NA,Applications Developer,Mobile Developer,Back-End Developer,Front-End Developer,Full-Stack Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,NA,Private cloud / on-premises,NA,NA,NA,101-200,Very involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Somewhat involved,Not involved,Somewhat involved,Not involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,Used in the past,Used in the past,Used in the past,Used in the past,NA,NA,NA,NA,NA,NA,NA,Documentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11592271644,257620230,2020-05-12T17:20:01Z,2020-05-12T17:25:45Z,NA,NA,NA,NA,Asia,1000-4999,Consultant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,Software Engineer,NA,Public cloud,NA,NA,6-20,Very involved,Very involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Very involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,YouTube,Discuss Blog,Meet ups and local events,KubeCon,StackOverflow,Documentation,NA,10,For microservice architecture implementation,For microservice architecture implementation,I rather not explain a non technical person.,Share my documents.,ECS maybe.,NA,NA,NA,NA,NA,NA,NA,NA
11592219033,257620230,2020-05-12T17:09:17Z,2020-05-12T17:13:07Z,NA,NA,NA,NA,North America,50-99,None of the above,Software Architect,NA,NA,NA,NA,NA,Full-Stack Developer,NA,NA,NA,NA,Software Development Management,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manager/Director,NA,VP of Engineering,Private cloud / on-premises,Public cloud,NA,NA,21-50,Very involved,Very involved,Very involved,Very involved,Very involved,Very involved,Very involved,Not involved,Very involved,Very involved,Very involved,Very involved,Currently using,N/A,Currently using,Currently using,Currently using,NA,Currently using,Currently using,NA,Twitter,NA,NA,NA,KubeCon,NA,Documentation,reddit,9,Years ago I wrote all kinds of junk to keep applications running and to scale them. Kubernetes lets me focus on deploying applications and forget about all that junk I wrote.,I want hassle-free high-uptime for my services.,I want something that will run my software for me without me having to manage it.,"I selected a _hosted_ kubernetes option (AKS on Azure) and started deploying things. We added an ingress-controller and things evolved in complexity, but this is how you start.","Either used VMs or one of the container-services, but these are lamer.",NA,NA,NA,NA,NA,NA,NA,NA
